Year,Item,Item Code (CPC),Area_Harvested_ha,Production_tonnes,Yield_hg_per_ha
1967,Apricots,1343,2.0,10.0,50000.0
1967,Avocados,1311,1100.0,16000.0,145455.0
1967,Bananas,1312,40000.0,400000.0,100000.0
1967,Barley,115,9574.0,6385.0,6669.0
1967,"Beans, dry",1701,115000.0,55000.0,4783.0
1967,"Beer of barley, malted",24310.01,,48839.0,
1967,"Cashew nuts, in shell",1372,34000.0,11800.0,3471.0
1967,"Cassava, fresh",1520.01,61000.0,480000.0,78689.0
1967,Castor oil seeds,1447,13000.0,3803.0,2925.0
1967,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",1652,3000.0,2300.0,7667.0
1967,"Cloves (whole stems), raw",1656,65.0,20.0,3077.0
1967,"Coconuts, in shell",1460,17000.0,65000.0,38235.0
1967,"Coffee, green",1610,85387.0,48000.0,5621.0
1967,"Cotton lint, ginned",1921.02,,3880.0,
1967,Cotton seed,143,,8540.0,
1967,Cottonseed oil,2168,,1172.47,
1967,Dates,1314,200.0,600.0,30000.0
1967,Green garlic,1252,7.0,100.0,142857.0
1967,"Groundnuts, excluding shelled",142,4190.0,2516.0,6005.0
1967,Linseed,1441,240.0,240.0,10000.0
1967,Maize (corn),112,1200000.0,1440000.0,12000.0
1967,"Mangoes, guavas and mangosteens",1316,200.0,800.0,40000.0
1967,Millet,118,75000.0,141000.0,18800.0
1967,Oats,117,5382.0,1237.0,2298.0
1967,"Onions and shallots, dry (excluding dehydrated)",1253.02,1200.0,3098.0,25817.0
1967,Oranges,1323,2500.0,8000.0,32000.0
1967,Papayas,1317,2900.0,30000.0,103448.0
1967,Pineapples,1318,500.0,12000.0,240000.0
1967,Plantains and cooking bananas,1313,1000.0,10000.0,100000.0
1967,Pomelos and grapefruits,1321,500.0,3500.0,70000.0
1967,Potatoes,1510,27500.0,195000.0,70909.0
1967,"Pyrethrum, dried flowers",1930.02,30000.0,10698.0,3566.0
1967,Rice,113,2830.0,15938.0,56318.0
1967,"Seed cotton, unginned",1921.01,57480.0,12738.0,2216.0
1967,Sesame seed,1444,7500.0,3000.0,4000.0
1967,Sorghum,114,210000.0,239000.0,11381.0
1967,Sugar cane,1802,21935.0,896400.0,408662.0
1967,Sunflower seed,1445,1700.0,4179.0,24582.0
1967,Sweet potatoes,1530,28000.0,200000.0,71429.0
1967,Tea leaves,1620,30078.0,22812.0,7584.0
1967,Tomatoes,1234,2370.0,38000.0,160338.0
1967,Unmanufactured tobacco,1970,500.0,53.0,1060.0
1967,Wheat,111,120922.0,162200.0,13414.0
1968,Apricots,1343,2.0,10.0,50000.0
1968,Avocados,1311,1100.0,16000.0,145455.0
1968,Bananas,1312,40000.0,400000.0,100000.0
1968,Barley,115,10562.0,11810.0,11182.0
1968,"Beans, dry",1701,115000.0,55000.0,4783.0
1968,"Beer of barley, malted",24310.01,,60001.0,
1968,"Cashew nuts, in shell",1372,24000.0,8500.0,3542.0
1968,"Cassava, fresh",1520.01,62000.0,490000.0,79032.0
1968,Castor oil seeds,1447,15000.0,5399.0,3599.0
1968,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",1652,3000.0,2300.0,7667.0
1968,"Cloves (whole stems), raw",1656,65.0,20.0,3077.0
1968,"Coconuts, in shell",1460,17000.0,75000.0,44118.0
1968,"Coffee, green",1610,84983.0,39600.0,4660.0
1968,"Cotton lint, ginned",1921.02,,4735.0,
1968,Cotton seed,143,,9490.0,
1968,Cottonseed oil,2168,,1588.4,
1968,Dates,1314,250.0,700.0,28000.0
1968,Green garlic,1252,7.0,100.0,142857.0
1968,"Groundnuts, excluding shelled",142,6200.0,3760.0,6065.0
1968,Linseed,1441,240.0,240.0,10000.0
1968,Maize (corn),112,1380000.0,1730000.0,12536.0
1968,"Mangoes, guavas and mangosteens",1316,200.0,900.0,45000.0
1968,Millet,118,74000.0,130000.0,17568.0
1968,Oats,117,5302.0,3910.0,7375.0
1968,"Onions and shallots, dry (excluding dehydrated)",1253.02,1300.0,3500.0,26923.0
