Region,Item,Year,season_name,area,production,yield,yield_hg_per_ha,Temperature - (Celsius),Rainfall - (MM),pesticides_hg_per_ha
Busia,Sorghum,2020,Annual,8865.0,6983.7,0.7877834179357022,7877.834179357022,25.118588141025644,657.6096580769231,43.03087326813425
Busia,Sugarcane,2014,Annual,3693.0,12112.0,3.279718386135933,32797.18386135933,25.41145,614.6785,43.72426839346539
Busia,Sugarcane,2015,Annual,12112.0,18191.8,1.5019649933949801,15019.6499339498,25.537633333333332,771.9757,41.320569022715134
Busia,Sugarcane,2016,Annual,18191.8,21468.0,1.1800921294209479,11800.921294209478,25.756608333333332,715.2022,42.68943063868325
Busia,Sugarcane,2017,Annual,21468.0,17596.0,0.8196385317682131,8196.38531768213,25.118588141025644,657.6096580769231,44.150204157254855
Busia,Sugarcane,2018,Annual,17596.0,17777.0,1.0102864287338031,10102.864287338032,25.118588141025644,657.6096580769231,44.74773742840885
Busia,Sugarcane,2019,Annual,17777.0,17221.0,0.9687236316588851,9687.236316588851,25.118588141025644,657.6096580769231,44.32125591088847
Busia,Sugarcane,2020,Annual,17221.0,17394.3,1.0100632948144708,10100.632948144708,25.118588141025644,657.6096580769231,43.581215484777616
Elgeyo-Marakwet,Maize,2000,Annual,49100.0,148109.0,3.0164765784114054,30164.765784114054,24.904749999999996,448.51506,36.75407702542201
Elgeyo-Marakwet,Maize,2000,Long,14500.0,31410.0,2.1662068965517243,21662.068965517243,24.95515,243.4279,35.04478282455696
Elgeyo-Marakwet,Maize,2001,Annual,29300.0,62124.0,2.120273037542662,21202.730375426618,25.095758333333333,622.51956,35.04207442783941
Elgeyo-Marakwet,Maize,2001,Long,14500.0,46332.0,3.195310344827586,31953.103448275862,24.650216666666665,320.875,36.54388884654027
Elgeyo-Marakwet,Maize,2002,Annual,27065.84369955,59359.25638271,2.193142657647761,21931.42657647761,25.478066666666667,780.8529000000001,38.217780748781905
Elgeyo-Marakwet,Maize,2003,Annual,33330.0,64765.0,1.943144314431443,19431.44314431443,25.45435833333333,616.82425,40.384919578924475
Elgeyo-Marakwet,Maize,2004,Annual,33579.0,101153.0,3.012388695315525,30123.88695315525,25.31244166666667,552.587,42.299833166283776
Elgeyo-Marakwet,Maize,2005,Annual,35835.0,111363.0,3.1076601088321474,31076.601088321473,25.32981666666667,434.6067,41.33128232178805
Elgeyo-Marakwet,Maize,2012,Annual,32015.0,101335.77,3.165259097298142,31652.59097298142,25.24515,756.213,38.46855023751938
Elgeyo-Marakwet,Maize,2013,Annual,27620.0,103448.43,3.745417451122375,37454.17451122375,25.182175,769.6913999999999,40.82745961959746
Elgeyo-Marakwet,Maize,2014,Annual,33598.0,78020.0,2.322162033454372,23221.62033454372,25.41145,614.6785,42.010749733798754
Elgeyo-Marakwet,Maize,2015,Annual,33315.0,75005.0,2.25138826354495,22513.8826354495,25.537633333333332,771.9757,42.359241238387
Elgeyo-Marakwet,Maize,2015,Long,33240.0,86957.0,2.616034897713598,26160.348977135982,25.183083333333332,395.9493,45.52845362293383
Elgeyo-Marakwet,Maize,2016,Annual,28373.0,80823.15,2.8485937334790115,28485.937334790113,25.756608333333332,715.2022,43.71587830656769
Elgeyo-Marakwet,Maize,2016,Long,30620.0,90354.42,2.950830176355323,29508.30176355323,25.4447,362.85080000000005,45.92064641488329
Elgeyo-Marakwet,Maize,2017,Annual,30631.0,92601.42,3.0231275505207145,30231.275505207144,25.118588141025644,657.6096580769231,44.51225876403918
Elgeyo-Marakwet,Maize,2017,Long,27660.0,108000.0,3.9045553145336225,39045.55314533623,24.90115897435897,347.44985384615387,45.23137246333888
Elgeyo-Marakwet,Maize,2018,Annual,31779.0,104486.9,3.287922842128449,32879.22842128449,25.118588141025644,657.6096580769231,43.9167956059108
Elgeyo-Marakwet,Maize,2018,Long,30000.0,99000.0,3.3,33000.0,24.90115897435897,347.44985384615387,44.242865568579944
Elgeyo-Marakwet,Maize,2019,Annual,25856.0,87431.25,3.3814685179455446,33814.685179455446,25.118588141025644,657.6096580769231,43.62515996475799
Elgeyo-Marakwet,Maize,2019,Long,30422.0,90353.34,2.9699999999999998,29699.999999999996,24.90115897435897,347.44985384615387,42.32732322320718
Elgeyo-Marakwet,Maize,2020,Annual,31351.0,86007.0,2.7433574686612867,27433.57468661287,25.118588141025644,657.6096580769231,45.81391919952351
Elgeyo-Marakwet,Maize,2020,Long,30960.0,96201.0,3.1072674418604653,31072.674418604653,24.90115897435897,347.44985384615387,43.83444497165396
Elgeyo-Marakwet,Maize,2021,Long,30200.0,90405.0,2.993543046357616,29935.43046357616,24.90115897435897,347.44985384615387,43.375805414599796
Elgeyo-Marakwet,Maize,2022,Long,30000.0,94500.0,3.15,31500.0,24.90115897435897,347.44985384615387,47.01544194170719
Elgeyo-Marakwet,Rice,2012,Annual,12.0,16.0,1.3333333333333333,13333.333333333332,25.24515,756.213,38.803110104709354
Elgeyo-Marakwet,Rice,2013,Annual,14.3,20.34,1.4223776223776223,14223.776223776224,25.182175,769.6913999999999,43.19717042626921
Elgeyo-Marakwet,Rice,2014,Annual,33.0,96.0,2.909090909090909,29090.909090909092,25.41145,614.6785,44.9737097755327
Elgeyo-Marakwet,Rice,2015,Annual,23.0,63.0,2.739130434782609,27391.304347826088,25.537633333333332,771.9757,45.275679605242686
Elgeyo-Marakwet,Rice,2016,Annual,2.0,3.0,1.5,15000.0,25.756608333333332,715.2022,43.61451474708964
Elgeyo-Marakwet,Sorghum,2012,Annual,917.0,1772.1,1.9324972737186477,19324.972737186476,25.24515,756.213,38.15491245475543
Elgeyo-Marakwet,Sorghum,2013,Annual,769.0,829.0,1.0780234070221066,10780.234070221066,25.182175,769.6913999999999,43.14694135012927
Elgeyo-Marakwet,Sorghum,2014,Annual,764.0,946.0,1.2382198952879582,12382.198952879582,25.41145,614.6785,42.71191152642181
Elgeyo-Marakwet,Sorghum,2015,Annual,670.0,1027.0,1.5328358208955224,15328.358208955224,25.537633333333332,771.9757,45.5008238581261
Elgeyo-Marakwet,Sorghum,2015,Long,490.0,490.0,1.0,10000.0,25.183083333333332,395.9493,45.48763074040201
Elgeyo-Marakwet,Sorghum,2016,Annual,1089.0,1074.0,0.9862258953168044,9862.258953168044,25.756608333333332,715.2022,45.74814826032671
Elgeyo-Marakwet,Sorghum,2016,Long,495.0,445.5,0.9,9000.0,25.4447,362.85080000000005,43.27996627163949
Elgeyo-Marakwet,Sorghum,2017,Annual,1059.0,1273.0,1.202077431539188,12020.77431539188,25.118588141025644,657.6096580769231,43.43125133775697
